movie,recommendation_1,recommendation_2,recommendation_3,recommendation_4,recommendation_5
Star Wars: Episode I - The Phantom Menace,Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Return of the Jedi,The Helix... Loaded,Star Wars
The Croods,Ice Age: Continental Drift,The Master of Disguise,The Book of Life,The Boxtrolls,The Brave Little Toaster
Asterix at the Olympic Games,A Simple Wish,Inkheart,Cool Runnings,Aladdin,The NeverEnding Story
Windtalkers,Tora! Tora! Tora!,Red Tails,Letters from Iwo Jima,Fort McCoy,The Imitation Game
The Huntsman: Winter's War,Snow White and the Huntsman,Mirror Mirror,Arn: The Knight Templar,Silver Medalist,Extreme Ops
Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles: Out of the Shadows,TMNT,The Thief and the Cobbler,Batman v Superman: Dawn of Justice
Gravity,The Right Stuff,Moonraker,Deep Impact,The Astronaut's Wife,Space Pirate Captain Harlock
Dante's Peak,Silver Medalist,Broken City,Invasion U.S.A.,Volcano,San Andreas
Teenage Mutant Ninja Turtles: Out of the Shadows,Teenage Mutant Ninja Turtles II: The Secret of the Ooze,Teenage Mutant Ninja Turtles,TMNT,Agent Cody Banks 2: Destination London,Fantastic 4: Rise of the Silver Surfer
Fantastic Four,Man of Steel,X-Men,Fantastic 4: Rise of the Silver Surfer,X-Men: First Class,Thor: The Dark World
Night at the Museum,Night at the Museum: Battle of the Smithsonian,Night at the Museum: Secret of the Tomb,The Relic,Mad City,Jonah: A VeggieTales Movie
San Andreas,The Finest Hours,World Trade Center,Invasion U.S.A.,Behind Enemy Lines,1941
Tomorrow Never Dies,For Your Eyes Only,Goldfinger,Dr. No,Robin Hood: Prince of Thieves,GoldenEye
The Patriot,Partition,Character,Inchon,We Were Soldiers,Waterloo
Ocean's Twelve,Ocean's Eleven,RED 2,Ocean's Thirteen,Side Effects,The Ladykillers
Mr. & Mrs. Smith,The Helix... Loaded,Khiladi 786,Silver Medalist,Hitman,Silent Trigger
Insurgent,Allegiant,Mad Max Beyond Thunderdome,Divergent,The Hunger Games: Mockingjay - Part 1,The Covenant
The Aviator,The Loss of Sexual Innocence,Winnie Mandela,Antarctica: A Year on Ice,Stories of Our Lives,The Face of an Angel
Gulliver's Travels,Goosebumps,Iguana,The Devil Wears Prada,Safety Not Guaranteed,Shanghai Noon
The Green Hornet,Dead Man Down,Project X,Water & Power,Amidst the Devil's Wings,Street Fighter: The Legend of Chun-Li
300: Rise of an Empire,300,Lincoln,U-571,Letters from Iwo Jima,Operation Chromite
The Smurfs,The Smurfs 2,Return to Never Land,The Croods,Aladdin,The Boxtrolls
Home on the Range,Barnyard,Dr. Dolittle 2,Babe: Pig in the City,Dwegons,Signs
Allegiant,Insurgent,Divergent,The 5th Wave,The Hunger Games: Mockingjay - Part 1,Mad Max Beyond Thunderdome
Real Steel,Automata,Never Back Down 2: The Beatdown,"I, Robot",Bill & Ted's Bogus Journey,Bobby Jones: Stroke of Genius
The Smurfs 2,The Smurfs,Shrek Forever After,Spirit: Stallion of the Cimarron,The Boxtrolls,Aladdin
Speed 2: Cruise Control,Hackers,WarGames,The Lawnmower Man,Antitrust,Duplex
Ender's Game,Space Pirate Captain Harlock,Lost in Space,The Helix... Loaded,Lockout,Jupiter Ascending
Live Free or Die Hard,Die Hard,Die Hard 2,Die Hard: With a Vengeance,Pulse,Hackers
The Lord of the Rings: The Fellowship of the Ring,The Hobbit: An Unexpected Journey,The Lord of the Rings: The Two Towers,The Hobbit: The Desolation of Smaug,The Hobbit: The Battle of the Five Armies,The Lord of the Rings: The Return of the King
Around the World in 80 Days,Silver Medalist,30 Minutes or Less,Alpha and Omega: The Legend of the Saw Tooth Cave,Monte Carlo,Shanghai Knights
Ali,The Hammer,The Hurricane,Million Dollar Baby,Cinderella Man,The Fighter
The Cat in the Hat,When the Cat's Away,Top Cat Begins,Two Evil Eyes,Garfield: A Tail of Two Kitties,Stuart Little
"I, Robot",Automata,RoboCop,Equilibrium,Real Steel,Minority Report
Kingdom of Heaven,Red Tails,Arn: The Knight Templar,Flyboys,The Marine,Silver Medalist
Stuart Little,Stuart Little 2,The Good Dinosaur,The Blue Bird,Teacher's Pet,My Big Fat Greek Wedding 2
The Princess and the Frog,Fantasia 2000,The Good Dinosaur,Teacher's Pet,Frozen,Aladdin
The Martian,Red Planet,Escape from Planet Earth,Mission to Mars,Meet Dave,Apollo 13
The Island,Waterworld,Star Trek: Insurrection,Mad Max Beyond Thunderdome,The Helix... Loaded,Star Trek III: The Search for Spock
Town & Country,How to Lose Friends & Alienate People,Friends with Benefits,Frances Ha,No Strings Attached,Sex Drive
Gone in Sixty Seconds,Drive Hard,Drive,Furious 7,Stolen,Out of the Furnace
Gladiator,Hercules,Pompeii,Abandoned,Return of the Jedi,Underworld: Rise of the Lycans
Minority Report,Looper,Equilibrium,Insomnia,The Next Three Days,Terminator Genisys
Harry Potter and the Chamber of Secrets,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Order of the Phoenix,Harry Potter and the Goblet of Fire,Harry Potter and the Philosopher's Stone,Harry Potter and the Half-Blood Prince
Casino Royale,The World Is Not Enough,Quantum of Solace,Never Say Never Again,Nerve,Wreck-It Ralph
Planet of the Apes,Battle for the Planet of the Apes,Congo,Conquest of the Planet of the Apes,Beneath the Planet of the Apes,Escape from the Planet of the Apes
Terminator 2: Judgment Day,The Terminator,Terminator Genisys,Terminator Salvation,Terminator 3: Rise of the Machines,Equilibrium
Public Enemies,The Jackal,Ballistic: Ecks vs. Sever,Seabiscuit,American Hustle,The X Files: I Want to Believe
American Gangster,Easy Money,Find Me Guilty,Bound by Honor,Amidst the Devil's Wings,City By The Sea
True Lies,Invasion U.S.A.,3 Days to Kill,Taken,The Man from U.N.C.L.E.,Collateral Damage
The Taking of Pelham 1 2 3,Dead Man Down,Blood Ties,Mi America,Nine Queens,Nighthawks
Little Fockers,Meet the Parents,Meet the Fockers,Guess Who,Highway,My Big Fat Greek Wedding
The Other Guys,Dead Man Down,The Taking of Pelham 1 2 3,Next Day Air,Nighthawks,Changing Lanes
Eraser,Hitman,Capricorn One,Rush Hour 3,The Replacement Killers,Did You Hear About the Morgans?
Django Unchained,One for the Money,World Trade Center,3 Ninjas Kick Back,The Hateful Eight,In the Name of the King: A Dungeon Siege Tale
The Hunchback of Notre Dame,ABCD (Any Body Can Dance),One Night with the King,The Boxtrolls,Oliver!,Wild Grass
The Emperor's New Groove,Bolt,Alvin and the Chipmunks: Chipwrecked,The Smurfs,The Brave Little Toaster,Planet 51
The Expendables 2,Chain of Command,The Expendables,Licence to Kill,Bullet to the Head,Four Brothers
National Treasure,Lara Croft: Tomb Raider,Indiana Jones and the Kingdom of the Crystal Skull,Raiders of the Lost Ark,Lara Croft Tomb Raider: The Cradle of Life,Indiana Jones and the Temple of Doom
Eragon,How to Train Your Dragon 2,Dragonslayer,Pete's Dragon,The Hobbit: The Desolation of Smaug,The Chronicles of Narnia: The Voyage of the Dawn Treader
Where the Wild Things Are,The Harvest (La Cosecha),"Yours, Mine and Ours",Nanny McPhee,Shrek Forever After,Monster House
Epic,Mirrormask,Rise of the Guardians,Return to Never Land,Foodfight!,The Brave Little Toaster
The Tourist,My Lucky Star,Hav Plenty,The Lovers,Virgin Territory,Femme Fatale
End of Days,Dead Man Down,Ghost Rider: Spirit of Vengeance,In the Cut,Deliver Us from Evil,Alleluia! The Devil's Carnival
Blood Diamond,Snow Falling on Cedars,In Her Line of Fire,Love Me Tender,The Hunting Party,House of Flying Daggers
The Wolf of Wall Street,Wall Street,Casino Jack,Four Single Fathers,The Big Short,The Infiltrator
Batman Forever,Batman & Robin,The Dark Knight Rises,The Dark Knight,Batman,Batman
Starship Troopers,The Four Feathers,G.I. Jane,Tracker,Flyboys,Buffalo Soldiers
Cloud Atlas,The Time Machine,The Muppet Christmas Carol,Terminator Genisys,Automata,Code 46
Legend of the Guardians: The Owls of Ga'Hoole,Winnie the Pooh,Hoot,Return to Oz,The Brave Little Toaster,The Book of Life
Catwoman,When the Cat's Away,The Cat in the Hat,Harvard Man,Nighthawks,Amidst the Devil's Wings
Hercules,Gladiator,300,The Messenger: The Story of Joan of Arc,Immortals,The Grace Card
Treasure Planet,Space Pirate Captain Harlock,Lost in Space,Titan A.E.,Home,Space Chimps
Land of the Lost,Super Mario Bros.,The Descent,Planet 51,Hot Tub Time Machine,The Good Dinosaur
The Expendables 3,Mission: Impossible III,RED,Navy Seals vs. Zombies,Lone Survivor,The Losers
Point Break,Donnie Brasco,"Big Mommas: Like Father, Like Son",Stone Cold,The Punisher,Big Momma's House 2
Son of the Mask,The Mask,The Boy,The Odd Life of Timothy Green,Alpha and Omega: The Legend of the Saw Tooth Cave,Halloween III: Season of the Witch
In the Heart of the Sea,Moby Dick,Titanic,Alive,"20,000 Leagues Under the Sea",Ghost Ship
The Adventures of Pluto Nash,Apollo 18,The Helix... Loaded,Moon,Semi-Pro,2001: A Space Odyssey
Green Zone,Lone Survivor,Behind Enemy Lines,Lawrence of Arabia,xXx,Force 10 from Navarone
The Peanuts Movie,Dinosaur,Dwegons,Khumba,The Young Unknowns,The Book of Life
The Spanish Prisoner,Nine Queens,The Dead Girl,Broken Horses,Double Jeopardy,Blood Ties
The Mummy Returns,The Mummy: Tomb of the Dragon Emperor,Character,Stormbreaker,Madagascar 3: Europe's Most Wanted,Betty Fisher and Other Stories
Gangs of New York,Ben-Hur,One Man's Hero,J. Edgar,Butch Cassidy and the Sundance Kid,West Side Story
The Flowers of War,For Colored Girls,The Land Girls,Tora! Tora! Tora!,Set It Off,The Homesman
Surf's Up,Alpha and Omega: The Legend of the Saw Tooth Cave,Robots,Saving Mr. Banks,Jonah: A VeggieTales Movie,Curious George
The Stepford Wives,The Helix... Loaded,Khiladi 786,Sheena,Thunderbirds,Small Soldiers
Black Hawk Down,The Great Raid,Flyboys,Glory,Operation Chromite,Red Tails
The Campaign,R.L. Stine's Monsterville: The Cabinet of Souls,Dick,School Daze,16 to Life,Extreme Movie
The Fifth Element,Race to Witch Mountain,Heavy Metal,Titan A.E.,Jupiter Ascending,Avatar
Sex and the City 2,Peaceful Warrior,I Don't Know How She Does It,Raising Helen,Boynton Beach Club,Real Women Have Curves
The Road to El Dorado,The Thief and the Cobbler,Alvin and the Chipmunks: The Road Chip,Zambezia,City of Ember,Ice Age: Continental Drift
Ice Age: Continental Drift,The Croods,Ice Age: Dawn of the Dinosaurs,Flushed Away,Ice Age: The Meltdown,The Lion of Judah
Cinderella,Ella Enchanted,The Lunchbox,Happily N'Ever After,The Musketeer,Ever After: A Cinderella Story
The Lovely Bones,Growing Up Smith,This Christmas,The Young and Prodigious T.S. Spivet,The Last House on the Left,Hoot
Finding Nemo,The Rugrats Movie,Dwegons,Dinosaur,Peeples,Bolt
The Lord of the Rings: The Return of the King,The Lord of the Rings: The Two Towers,The Hobbit: The Battle of the Five Armies,The Hobbit: An Unexpected Journey,The Lord of the Rings: The Fellowship of the Ring,The Hobbit: The Desolation of Smaug
The Lord of the Rings: The Two Towers,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Return of the King,The Hobbit: An Unexpected Journey,The Hobbit: The Desolation of Smaug,The Hobbit: The Battle of the Five Armies
Seventh Son,Character,Betty Fisher and Other Stories,Paa,Snitch,In the Name of the King: A Dungeon Siege Tale
Lara Croft: Tomb Raider,Lara Croft Tomb Raider: The Cradle of Life,National Treasure,Mortal Kombat,Raiders of the Lost Ark,Indiana Jones and the Last Crusade
Transcendence,Listening,2001: A Space Odyssey,Sleep Dealer,Her,The Thirteenth Floor
Jurassic Park III,The Lost World: Jurassic Park,Jurassic Park,Cliffhanger,Jurassic World,Pandorum
Rise of the Planet of the Apes,Deep Blue Sea,Dawn of the Planet of the Apes,Conquest of the Planet of the Apes,The Helix... Loaded,A Separation
The Spiderwick Chronicles,The Croods,Ice Age: Continental Drift,Spirited Away,Return to Never Land,The Chronicles of Narnia: The Voyage of the Dawn Treader
A Good Day to Die Hard,The November Man,Clear and Present Danger,Act of Valor,The Sum of All Fears,Jack Ryan: Shadow Recruit
The Alamo,Texas Rangers,Cinco de Mayo: La Batalla,One Man's Hero,The Legend of Hell's Gate: An American Conspiracy,Major Dundee
The Incredibles,Super,Prince of Persia: The Sands of Time,Spy Kids 2: The Island of Lost Dreams,VeggieTales: The Pirates Who Don't Do Anything,Megamind
Cutthroat Island,The Pirates! In an Adventure with Scientists!,Pirates of the Caribbean: The Curse of the Black Pearl,The Bounty,The Pirate,Pirates of the Caribbean: On Stranger Tides
Percy Jackson & the Olympians: The Lightning Thief,Clash of the Titans,Wrath of the Titans,The Grace Card,Epic,The Croods
Men in Black,Men in Black II,Impostor,Spaced Invaders,Independence Day: Resurgence,The Hobbit: The Battle of the Five Armies
Toy Story 2,Toy Story,Toy Story 3,The 40 Year Old Virgin,The Lego Movie,Mars Needs Moms
Unstoppable,Crimson Tide,The Cold Light of Day,The Taking of Pelham 1 2 3,Under Siege 2: Dark Territory,Extreme Ops
Rush Hour 2,Rush Hour 3,Men in Black 3,Get Carter,The Replacement Killers,Lethal Weapon 4
What Lies Beneath,Stir of Echoes,The Haunting in Connecticut 2: Ghosts of Georgia,White Noise 2: The Light,The Village,The Last Sin Eater
Cloudy with a Chance of Meatballs,Cloudy with a Chance of Meatballs 2,Foodfight!,Over the Hedge,"Food, Inc.",Larry the Cable Guy: Health Inspector
Ice Age: Dawn of the Dinosaurs,Ice Age: Continental Drift,Up,Walking With Dinosaurs,Alvin and the Chipmunks: The Road Chip,Ice Age: The Meltdown
The Secret Life of Walter Mitty,Silver Medalist,Spice World,Up,The Life Aquatic with Steve Zissou,Raising Helen
Charlie's Angels,Charlie's Angels: Full Throttle,RED,Silver Medalist,Khiladi 786,The Last Dragon
The Departed,Donnie Brasco,Jimmy and Judy,Black Mass,Frenzy,Hostage
Mulan,Pete's Dragon,Frozen,Dragon Nest: Warriors' Dawn,The Book of Life,Nicholas Nickleby
Tropic Thunder,Cecil B. Demented,Incident at Loch Ness,Movie 43,The Stewardesses,The Legend of Tarzan
The Girl with the Dragon Tattoo,In the Valley of Elah,Open Secret,Gone Girl,Shutter Island,Sound of My Voice
Die Hard: With a Vengeance,Die Hard,Live Free or Die Hard,Die Hard 2,Sherlock Holmes,Khiladi 786
Sherlock Holmes,Sherlock Holmes: A Game of Shadows,Murder by Numbers,Young Sherlock Holmes,Kiss Kiss Bang Bang,The Adventures of Ford Fairlane
Ben-Hur,Battle of the Year,Walking and Talking,Gangs of New York,The Switch,The Count of Monte Cristo
Atlantis: The Lost Empire,Ice Age: Continental Drift,Return to Never Land,The Abyss,The Croods,Fantastic Mr. Fox
Alvin and the Chipmunks: The Road Chip,Bolt,Four Single Fathers,The Croods,The Out-of-Towners,Crocodile Dundee II
Valkyrie,Black Book,Fort McCoy,Red Tails,Winter in Wartime,Unbroken
You Don't Mess with the Zohan,Munich,Michael Jordan to the Max,The Helix... Loaded,Ajami,Khiladi 786
Pixels,Grandma's Boy,The Helix... Loaded,The FP,eXistenZ,Spy Kids 3-D: Game Over
A.I. Artificial Intelligence,Jumper,Creative Control,Chappie,Hide and Seek,Hesher
The Haunted Mansion,Serial Mom,The Lizzie McGuire Movie,Darkness,Ri¢hie Ri¢h,Casper
Contact,Hard to Be a God,Harrison Montgomery,Stories of Our Lives,Inside Deep Throat,Cecil B. Demented
Hollow Man,Beyond the Valley of the Dolls,Trash,The Helix... Loaded,Northfork,Chain Reaction
The Interpreter,The Sentinel,The Kingdom,Patriot Games,Rush Hour 3,Ninja Assassin
Percy Jackson: Sea of Monsters,Hellboy II: The Golden Army,The Lego Movie,The Adventures of Rocky & Bullwinkle,The Secret of Kells,Hansel & Gretel: Witch Hunters
Lara Croft Tomb Raider: The Cradle of Life,Lara Croft: Tomb Raider,National Treasure,Raiders of the Lost Ark,Indiana Jones and the Last Crusade,Indiana Jones and the Temple of Doom
Now You See Me 2,Now You See Me,Triple 9,Miss Congeniality 2: Armed and Fabulous,Checkmate,30 Minutes or Less
The Saint,The Darkest Hour,Emma,Sorcerer,The Living Daylights,The Lovers
Spy Game,The November Man,Bridge of Spies,Shadow Conspiracy,The Mechanic,Invasion U.S.A.
Mission to Mars,Red Planet,The Last Days on Mars,The Martian,Escape from Planet Earth,Ghosts of Mars
Rio,Rio 2,Stuart Little 2,30 Minutes or Less,VeggieTales: The Pirates Who Don't Do Anything,Up
Bicentennial Man,Robot & Frank,Robots,Bill & Ted's Bogus Journey,Automata,Astro Boy
Volcano,Undiscovered,Water & Power,Escape from L.A.,Predator 2,Metropolis
The Devil's Own,Dear Frankie,Angela's Ashes,Stigmata,Deadfall,The Godfather: Part II
K-19: The Widowmaker,Crimson Tide,"20,000 Leagues Under the Sea",The Hunt for Red October,Das Boot,The Spy Who Loved Me
Conan the Barbarian,Conan the Destroyer,The Legend of the Lone Ranger,Troop Beverly Hills,Ong Bak 2,Nicholas Nickleby
Cinderella Man,The Longshots,The Hurricane,Million Dollar Baby,Rocky Balboa,Raging Bull
The Nutcracker: The Untold Story,The Nutcracker,Love the Coopers,The Muppet Christmas Carol,A Charlie Brown Christmas,Insidious: Chapter 3
Seabiscuit,The Game of Their Lives,The Longshots,Chariots of Fire,The 33,Find Me Guilty
Twister,Silver Medalist,Into the Storm,London,About Schmidt,Free Style
Cast Away,The Perfect Storm,Return to the Blue Lagoon,I Love Your Work,Fireproof,Chuck & Buck
Happy Feet,Happy Feet Two,Madagascar: Escape 2 Africa,Penguins of Madagascar,Cats Don't Dance,Mr. Popper's Penguins
The Bourne Supremacy,The Bourne Identity,The Bourne Ultimatum,Bad Company,Hitman,The Bourne Legacy
Air Force One,The Negotiator,Street Fighter,The River Wild,The Cold Light of Day,Dwegons
Ocean's Eleven,Ocean's Thirteen,Ocean's Twelve,12 Rounds,Unleashed,American History X
The Three Musketeers,Flyboys,Ballistic: Ecks vs. Sever,The Horseman on the Roof,Baahubali: The Beginning,Point Break
Hotel Transylvania,Hotel Transylvania 2,The Croods,The Smurfs,Dracula 2000,The Boxtrolls
Enchanted,Aladdin,Snow White and the Seven Dwarfs,The Princess Bride,Happily N'Ever After,About Last Night
